EmployeeID,LastName,FirstName,Birthday,BasicSalary,HourlyRate
10001,Garcia,Manuel III,10/11/1983,90000.0,535.7142857142857
10002,Lim,Antonio,06/19/1988,60000.0,357.14285714285717
10003,Aquino,Bianca Sofia,08/04/1989,60000.0,357.14285714285717
10004,Reyes,Isabella,06/16/1994,60000.0,357.14285714285717
10005,Hernandez,Eduard,09/23/1989,52670.0,313.51190476190476
10006,Villanueva,Andrea Mae,02/14/1988,52670.0,313.51190476190476
10007,San Jose,Brad,03/15/1996,42975.0,255.80357142857142
10008,Romualdez,Alice,05/14/1992,22500.0,133.92857142857142
10009,Atienza,Rosie,09/24/1948,22500.0,133.92857142857142
10010,Alvaro,Roderick,03/30/1988,52670.0,313.51190476190476
10011,Salcedo,Anthony,09/14/1993,50825.0,302.5297619047619
10012,Lopez,Josie,01/14/1987,38475.0,229.01785714285714
10013,Farala,Martha,01/11/1942,24000.0,142.85714285714286
10014,Martinez,Leila,07/11/1970,24000.0,142.85714285714286
10015,Romualdez,Fredrick,03/10/1985,53500.0,318.45238095238096
10016,Mata,Christian,10/21/1987,42975.0,255.80357142857142
10017,De Leon,Selena,02/20/1975,41850.0,249.10714285714286
10018,San Jose,Allison,06/24/1986,22500.0,133.92857142857142
10019,Rosario,Cydney,10/06/1996,22500.0,133.92857142857142
10020,Bautista,Mark,02/12/1991,23250.0,138.39285714285714
10021,Lazaro,Darlene,11/25/1985,23250.0,138.39285714285714
10022,Delos Santos,Kolby,02/26/1980,24000.0,142.85714285714286
10023,Santos,Vella,12/31/1983,22500.0,133.92857142857142
10024,Del Rosario,Tomas,12/18/1978,22500.0,133.92857142857142
10025,Tolentino,Jacklyn,05/19/1984,24000.0,142.85714285714286
10026,Gutierrez,Percival,12/18/1970,24750.0,147.32142857142858
10027,Manalaysay,Garfield,08/28/1986,24750.0,147.32142857142858
10028,Villegas,Lizeth,12/12/1981,24000.0,142.85714285714286
10029,Ramos,Carol,08/20/1978,22500.0,133.92857142857142
10030,Maceda,Emelia,04/14/1973,22500.0,133.92857142857142
10031,Aguilar,Delia,01/27/1989,22500.0,133.92857142857142
10032,Castro,John Rafael,02/09/1992,52670.0,313.51190476190476
10033,Martinez,Carlos Ian,11/16/1990,52670.0,313.51190476190476
10034,Santos,Beatriz,08/07/1990,52670.0,313.51190476190476
